YYYY_MM,total
2018_01,11254
2018_02,10427
2018_03,11640
2018_04,12856
2018_05,13075
2018_06,12365
2018_07,11339
2018_08,11643
2018_09,12081
2018_10,12869
2018_11,12860
2018_12,11917
2019_01,11500
2019_02,10724
2019_03,12314
2019_04,12269
2019_05,12678
2019_06,12379
2019_07,10630
2019_08,12963
2019_09,13052
2019_10,13250
2019_11,13230
2019_12,11966
2020_01,11068
2020_02,11132
2020_03,9444
2020_04,8014
2020_05,9380
2020_06,10758
2020_07,10005
2020_08,11731
2020_09,12352
2020_10,12607
2020_11,10459
2020_12,9337
